Unnamed: 0,Focal Plane Image,Time Stream Image,Number of Detectors,Y and X Extent Ratio,Mean abs(Correlation),Mean abs(Time Lag),Y Hist Max and Adjacent/Number of Detectors,Within 0.1 of Y Hist Max/Number of Detectors,TOD,Start Index,Stop Index,Start Ctime,Stop Ctime,Median Ctime,ra,dec,ra with TOD Offsets,dec with TOD Offsets,Type,Glitch
30,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_217830-218233.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_217830-218233.png,10.0,0.4330628291660948,0.3229991806019026,11.022222222222222,0.3,0.5,1559981711.1559990795.ar5:f090,217830.0,218233.0,1559982260.72207,1559982261.739142,1559982261.230606,-5.744467348055002,0.2267751771145127,-0.1042936111885892,-0.0037631290222288,Original,Unlabeled
31,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_245448-246224.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_245448-246224.png,33.0,0.8103282193603704,0.1753406421714967,70.73106060606061,0.4242424242424242,0.2727272727272727,1559981711.1559990795.ar5:f090,245448.0,246224.0,1559982330.596385,1559982332.557157,1559982331.576771,-4.372551989641791,-1.5568794775706736,-0.0826939301434188,-0.0313249291674196,Original,Unlabeled
32,TOD_1559981711.1559990795.ar5:f090_entire_array_tslice_248481-248885.png,TOD_1559981711.1559990795.ar5:f090_snipTOD_tslice_248481-248885.png,15.0,2.46340476391422,0.3701702179434176,1.4095238095238096,0.2666666666666666,0.3333333333333333,1559981711.1559990795.ar5:f090,248481.0,248885.0,1559982338.26996,1559982339.289558,1559982338.7797608,-6.670376652254531,2.549538018968624,-0.120079003346249,0.0362401715608449,Original,Unlabeled
0,TOD_1559982368.1559990874.ar5:f090_entire_array_tslice_0-222.png,TOD_1559982368.1559990874.ar5:f090_snipTOD_tslice_0-222.png,6.0,1.5527929937383629,0.3835019075676708,42.06666666666667,0.6666666666666666,0.6666666666666666,1559982368.1559990874.ar5:f090,0.0,222.0,1559982367.06927,1559982367.628406,1559982367.348838,-3.7584911266801617,-1.4779067642097008,-0.0736765067469292,-0.0362940599850832,Original,Unlabeled
1,TOD_1559982368.1559990874.ar5:f090_entire_array_tslice_3815-4222.png,TOD_1559982368.1559990874.ar5:f090_snipTOD_tslice_3815-4222.png,44.0,0.6657085931323331,0.2414309343257295,2.548625792811839,0.5,0.6136363636363636,1559982368.1559990874.ar5:f090,3815.0,4222.0,1559982376.721326,1559982377.748518,1559982377.234922,-4.974903190948685,0.0511127953455248,-0.0932033654603336,-0.0078951172717355,Original,Unlabeled
2,TOD_1559982368.1559990874.ar5:f090_entire_array_tslice_14109-14515.png,TOD_1559982368.1559990874.ar5:f090_snipTOD_tslice_14109-14515.png,47.0,0.6572063661198037,0.2565051960628701,2.928769657724329,0.4680851063829787,0.5319148936170213,1559982368.1559990874.ar5:f090,14109.0,14515.0,1559982402.765432,1559982403.790093,1559982403.277763,-3.661556995206081,-1.734969342543217,-0.071681957488942,-0.0389956436724054,Original,Unlabeled
3,TOD_1559982368.1559990874.ar5:f090_entire_array_tslice_14522-14927.png,TOD_1559982368.1559990874.ar5:f090_snipTOD_tslice_14522-14927.png,7.0,1.1725541873530532,0.6032050896123377,0.0,0.4285714285714285,1.0,1559982368.1559990874.ar5:f090,14522.0,14927.0,1559982403.810334,1559982404.832465,1559982404.321399,-4.053796452757987,-0.752583482548255,-0.0748730868302925,-0.020969511682282,Original,Unlabeled
4,TOD_1559982368.1559990874.ar5:f090_entire_array_tslice_20368-20773.png,TOD_1559982368.1559990874.ar5:f090_snipTOD_tslice_20368-20773.png,16.0,0.7973619595289732,0.2789682971142723,18.716666666666665,0.4375,0.4375,1559982368.1559990874.ar5:f090,20368.0,20773.0,1559982418.600877,1559982419.623009,1559982419.111943,-2.412073569359446,-3.762320795883189,-0.0496652855158125,-0.0758372858343914,Original,Unlabeled
5,TOD_1559982368.1559990874.ar5:f090_entire_array_tslice_21178-21630.png,TOD_1559982368.1559990874.ar5:f090_snipTOD_tslice_21178-21630.png,11.0,0.5073808385627419,0.2996874529326923,17.636363636363637,0.4545454545454545,0.6363636363636364,1559982368.1559990874.ar5:f090,21178.0,21630.0,1559982420.6502,1559982421.791243,1559982421.220721,-3.664821992168572,-1.988830979875844,-0.068849642492319,-0.0415229235138565,Original,Unlabeled
6,TOD_1559982368.1559990874.ar5:f090_entire_array_tslice_28480-28883.png,TOD_1559982368.1559990874.ar5:f090_snipTOD_tslice_28480-28883.png,11.0,0.9070949620655728,0.282754557726449,32.14545454545455,0.6363636363636364,0.7272727272727273,1559982368.1559990874.ar5:f090,28480.0,28883.0,1559982439.124467,1559982440.141539,1559982439.633003,-3.78222411030488,-1.566002568413782,-0.0698333981243961,-0.0354392138155687,Original,Unlabeled
